Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
China Longyuan Power Group,China,CHN,Electricity Utilities,No,large,CNE100000HD4,B4Q2TX3,01/12/2024,18/04/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Mengniu Dairy,China,CHN,Food Producers,No,large,KYG210961051,B01B1L9,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The company does not disclose sufficient data to allow TPI to recalculate current carbon intensity according to TPI methodology or to estimate future Carbon Performance.
China Merchants Energy Shipping,China,CHN,Shipping,No,large,CNE000001PQ8,B1H6P80;BP3R8G4,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/02/2024,24/11/2023,Shipping_01/02/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (gCO2 / t-km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Merchants Expressway Network & Technology Holdings,China,CHN,Industrials,No,large,CNE1000032B1,BFMJDQ6,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Merchants Port Group,China,CHN,Industrials,No,large,CNE000000818,6803463,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Minsheng Banking,China,CHN,Financials,No,large,CNE0000015Y0,6310747,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Molybdenum,China,CHN,Diversified Mining,No,small,CNE100000114,B1VRCG6,01/12/2024,02/06/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/05/2024,23/05/2024,Diversified Mining_01/06/2022,,1.5 Degrees,,1.5 Degrees,Below 2 Degrees,2030;2040;2045;2050,,,,,,,2022,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,,4.510765139,4.595205029,4.513066908,4.60111256,3.793186276,4.211964286,4.460430131,4.708895976,4.957361821,5.205827666,5.454293512,5.702759357,5.951225202,6.199691047,6.017165047,5.834639046,5.652113045,5.469587045,5.287061044,5.104535043,4.922009043,4.739483042,4.556957042,4.374431041,4.088715148,3.802999256,3.517283363,3.23156747,2.945851577,2.633668759,2.32148594,2.009303122,1.697120303,1.384937484,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers only Scope 1 and 2 emissions. The Scope 3 emissions intensity (Categories 10 and 11), which is not covered by the target, is assumed to remain constant from the latest year of disclosure. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Motor,Taiwan,TWN,Autos,No,medium,TW0002204005,6191328,01/12/2024,16/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,01/02/2024,15/12/2023,Autos_01/11/2023,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Average new vehicle emissions (grams of CO2 per kilometre [WLTP]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. TPI’s benchmarks harmonise emissions under the EU’s Worldwide Harmonized Light Vehicles Test Procedure (WLTP). While formally adopted in September 2017, manufacturers systematically began reporting emission performance in WLTP in the reporting year 2020. We rely on conversion factors published by the ICCT to translate companies’ historical intensities from NEDC to WLTP, but previous assessments using NEDC are still accessible on our tool. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China National Building Materials,China,CHN,Cement,No,large,CNE1000002N9,B0Y91C1,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China National Chemical Engineering,China,CHN,Industrials,No,large,CNE100000KC0,B58R0Z2,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China National Nuclear Power,China,CHN,Electricity Utilities,No,small,CNE1000022N7,BYL7784,01/12/2024,22/03/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions figure that is inconsistent with TPI’s methodology for this sector. The company does not disclose sufficient data to allow TPI to recalculate current carbon intensity according to TPI methodology or to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Northern Rare Earth,China,CHN,Diversified Mining,No,small,CNE000000T18,6042017,01/12/2024,30/04/2024,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/05/2024,23/05/2024,Diversified Mining_01/06/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. TPI was unable to calculate a carbon intensity according to its methodology, as the company does not disclose Scope 1 and 2 emissions of its coal business. We are therefore unable to derive an emissions intensity that is representative of the whole company’s business activity. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Oilfield Services,China,CHN,Oil & Gas (Other),No,large,CNE100000759,B24G115,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Pacific Insurance (Group),China,CHN,Financials,No,large,CNE1000008M8,B29WFR2,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Power International Development,China,CHN,Electricity Utilities,No,large,HK2380027329,B02ZKQ8,01/12/2024,05/02/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,Not Aligned,Not Aligned,,,,,,,,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,0.58,0.51,0.51,0.55,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions to allow TPI to verify the carbon intensities, or any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Railway Group,China,CHN,Industrials,No,large,CNE100000866,B292YZ3,01/12/2024,14/02/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Beer,China,CHN,Consumer Goods,No,large,HK0291001490,6972459,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Cement,China,CHN,Cement,No,large,KYG2113L1068,B41XC98,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Resources Gas Group,China,CHN,Utilities,No,large,BMG2113B1081,6535517,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Land,China,CHN,Financials,No,large,KYG2108Y1052,6193766,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/12/2024,26/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,Not Aligned,Not Aligned,2060,Not Aligned,,,Not Aligned,Not Aligned,,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,0.78,0.76,0.73,0.73,0.69,0.66,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.57,0.55,0.53,0.51,0.49,0.47,0.45,0.43,0.41,0.39,0.37,0.35,0.33,0.31,0.29,0.27,0.25,0.23,0.21,0.19,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Shenhua Energy,China,CHN,Coal Mining,Yes,large,CNE1000002R0;CNE100000767,B09N7M0;B281JM3;BP3R262,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Shipbuilding Industry Group Power,China,CHN,Consumer Goods,No,medium,CNE000001KB1,B01WHX6,01/12/2024,26/03/2024,1,new,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Southern,China,CHN,Airlines,No,large,CNE1000002T6;CNE000001FG0,6013693;6664972;BP3R6G0,01/12/2024,04/03/2024,1,unchanged,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Not Applicable,No,No,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,Not Aligned,Not Aligned,,1.5 Degrees,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,906.9785905,900.5109579,892.4868907,873.9627127,836.5752687,818.4784174,884.863313,861.0786036,838.6481618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China State Construction Engineering,China,CHN,Industrials,No,large,CNE100000F46,B3Y6LV2,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China State Construction International,China,CHN,Cement,No,large,KYG216771363,B0BM5T8,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,No,Yes,No,No,Yes,No,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data which TPI can use to estimate current or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Steel,Taiwan,TWN,Steel,Yes,large,TW0002002003,6190950,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Steel_01/10/2024,,Not Aligned,,Not Aligned,1.5 Degrees,2025;2030;2050,Not Aligned,,,Below 2 Degrees,1.5 Degrees,2025;2030;2050,2022,Carbon intensity (tonnes of CO2 per tonne of steel),2.412,2.254,2.29,2.32,2.315,2.343,2.269,2.376,2.299,2.33,2.336645623,2.343291247,2.34993687,2.241923401,2.133909933,2.025896465,1.917882996,1.809869528,1.719376052,1.628882575,1.538389099,1.447895623,1.357402146,1.26690867,1.176415193,1.085921717,0.99542824,0.904934764,0.814441288,0.723947811,0.633454335,0.542960858,0.452467382,0.361973906,0.271480429,0.180986953,0.090493476,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s steel production grows according to the global growth rate projected in the Mission Possible Project’s (MPP) Steel Sector Transition Strategy Model (ST-STSM). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Three Gorges Renewables,China,CHN,Electricity Utilities,No,large,CNE1000051F2,BNG04P7,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Tourism Group Duty Free,China,CHN,Consumer Services,No,large,CNE100000G29,B42G7J1,01/12/2024,04/05/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China United Network Communications,China,CHN,Telecommunications,No,large,CNE000001CS2,6547998,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China West Construction Group,China,CHN,Cement,No,small,CNE100000H77,B54LHS0,01/12/2024,30/04/2024,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Yangtze Power,China,CHN,Electricity Utilities,No,small,CNE000001G87,6711630,01/12/2024,14/02/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Zhongwang,China,CHN,Aluminium,No,medium,KYG215AT1023,B3VZ220,01/09/2022,06/05/2022,2,up,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,Not Assessed,,Not Assessed,Not Assessed,,Not Assessed,,,Not Assessed,Not Assessed,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector; hence the company is not assessed. The company completed sale of its aluminium smelting business in 2020. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Chipotle Mexican Grill,United States of America,USA,Consumer Services,No,large,US1696561059,B0X7DZ3,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing Changan Automobile,China,CHN,Autos,No,unlisted,CNE000000R36,6193948,01/12/2024,22/04/2024,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,01/02/2024,15/12/2023,Autos_01/11/2023,,National Pledges,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Not Aligned,,2022,Average new vehicle emissions (grams of CO2 per kilometre [WLTP]),178.6493645,177.8994405,182.6668203,184.1223087,175.0818153,165.2542514,161.0728993,168.8038075,134.3678131,112.8565256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance. TPI’s benchmarks harmonise emissions under the EU’s Worldwide Harmonized Light Vehicles Test Procedure (WLTP). While formally adopted in September 2017, manufacturers systematically began reporting emission performance in WLTP in the reporting year 2020. We rely on conversion factors published by the ICCT to translate companies’ historical intensities from NEDC to WLTP, but previous assessments using NEDC are still accessible on our tool. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Chord Energy,United States of America,USA,Oil & Gas,No,small,US6742152076,BLDDYB1,01/12/2024,05/03/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubb,United States of America,USA,Financials,No,large,CH0044328745,B3BQMF6,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/12/2024,29/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,National Pledges,,National Pledges,Below 2 Degrees,2030;2050,National Pledges,,,National Pledges,Below 2 Degrees,2030;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.51,0.5,0.49,0.49,0.48,0.46,0.43,0.41,0.45,0.43,0.41,0.4,0.38,0.36,0.34,0.32,0.31,0.29,0.27,0.26,0.25,0.23,0.22,0.2,0.19,0.17,0.16,0.14,0.13,0.12,0.1,0.09,0.07,0.06,0.04,0.03,0.01,0.0,"TPI generally assesses companies based on the emissions intensity of their owned generation. However, in the case of Chubu and TEPCO, taking the emissions intensity of sold electricity (i.e. power sales) provides a more representative assessment of these two companies’ transition risk, given that it includes the emissions of JERA, an electricity utility that TEPCO and Chubu jointly own. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
